source,target,source_en,target_en
17127,17128,hcbhb,icbhb
17127,18662,hcbhb,cggib
17127,18672,hcbhb,chgib
17127,22250,hcbhb,afccc
17127,42583,hcbhb,difce
17128,17127,icbhb,hcbhb
17128,18169,icbhb,jgbib
17128,18214,icbhb,ebcib
17128,18567,icbhb,hgfib
17128,18764,icbhb,eghib
17128,19088,icbhb,iiajb
17128,19464,icbhb,egejb
17128,21810,icbhb,abibc
17128,22250,icbhb,afccc
17128,24656,icbhb,gfgec
17128,30652,icbhb,cfgad
17128,42583,icbhb,difce
17128,72204,icbhb,eacch
17128,185848,icbhb,ieifib
17128,476944,icbhb,eejghe
17128,509844,icbhb,eeijaf
17128,891954,icbhb,efjbji
17128,924708,icbhb,iahecj
17128,1275101,icbhb,babfhcb
17654,42583,efghb,difce
17654,537891,efghb,bjihdf
17654,1265907,efghb,hajfgcb
17732,24656,cdhhb,gfgec
17770,18226,ahhhb,gccib
17770,24656,ahhhb,gfgec
17770,25822,ahhhb,ccifc
17783,18907,dihhb,hajib
17783,19490,dihhb,ajejb
17783,19532,dihhb,cdfjb
17783,41504,dihhb,eafbe
17783,69982,dihhb,cijjg
17783,1531588,dihhb,iifbdfb
17820,18412,acihb,cbeib
17820,18567,acihb,hgfib
17820,18569,acihb,jgfib
17820,18907,acihb,hajib
17820,19532,acihb,cdfjb
17820,23334,acihb,edddc
17820,25345,acihb,fedfc
17820,25469,acihb,jgefc
17820,26171,acihb,bhbgc
17820,29439,acihb,jdejc
17820,43593,acihb,djfde
17820,69162,acihb,cgbjg
17820,72204,acihb,eacch
17820,153307,acihb,haddfb
17820,230607,acihb,hagadc
17820,532843,acihb,deicdf
17820,713022,acihb,ccadbh
17820,924300,acihb,aadecj
17820,1437020,acihb,acahdeb
17820,1987171,acihb,bhbhijb
17844,18113,eeihb,dbbib
17844,18226,eeihb,gccib
17844,34671,eeihb,bhged
17844,891954,eeihb,efjbji
17844,1275101,eeihb,babfhcb
17844,1700699,eeihb,jjgaahb
17882,18226,ciihb,gccib
17882,22334,ciihb,eddcc
17882,25822,ciihb,ccifc
17882,43593,ciihb,djfde
17882,891954,ciihb,efjbji
17956,21783,gfjhb,dihbc
17956,69162,gfjhb,cgbjg
18040,19042,aeaib,ceajb
18040,1705053,aeaib,dfafahb
18113,17844,dbbib,eeihb
18113,19086,dbbib,giajb
18113,19532,dbbib,cdfjb
18113,21810,dbbib,abibc
18113,38646,dbbib,gegid
18113,68990,dbbib,ajjig
18113,72859,dbbib,jfich
18113,491503,dbbib,dafbje
18113,1245100,dbbib,aabfecb
18169,17128,jgbib,icbhb
18169,18567,jgbib,hgfib
18169,18581,jgbib,bifib
18169,19136,jgbib,gdbjb
18169,19379,jgbib,jhdjb
18169,19532,jgbib,cdfjb
18169,22141,jgbib,bebcc
18169,43593,jgbib,djfde
18169,185848,jgbib,ieifib
18169,187627,jgbib,hcghib
18169,453923,jgbib,dcjdfe
18169,476944,jgbib,eejghe
18169,532843,jgbib,deicdf
18169,541664,jgbib,eggbef
18169,891954,jgbib,efjbji
18180,19498,aibib,ijejb
18180,70667,aibib,hggah
18214,17128,ebcib,icbhb
18214,18810,ebcib,abiib
18214,19341,ebcib,bedjb
18214,19498,ebcib,ijejb
18214,19532,ebcib,cdfjb
18214,21783,ebcib,dihbc
18214,21810,ebcib,abibc
18214,23334,ebcib,edddc
18214,23378,ebcib,ihddc
18214,24656,ebcib,gfgec
18214,25491,ebcib,bjefc
18214,25858,ebcib,ififc
18214,29439,ebcib,jdejc
18214,30652,ebcib,cfgad
18214,32898,ebcib,ijicd
18214,39723,ebcib,dchjd
18214,42706,ebcib,gahce
18214,66916,ebcib,gbjgg
18214,69982,ebcib,cijjg
18214,76214,ebcib,ebcgh
18214,100147,ebcib,hebaab
18214,243507,ebcib,hafdec
18214,254347,ebcib,hedefc
18214,476903,ebcib,dajghe
18214,541664,ebcib,eggbef
18214,688380,ebcib,aidiig
18214,688390,ebcib,ajdiig
18214,688400,ebcib,aaeiig
18214,891954,ebcib,efjbji
18214,924708,ebcib,iahecj
