person_code,dr_cnt,person_name,person_pic_url,path_mean,link_cnt,person_en
11,21,한인수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F255CE14F56690F7B0F05B5,1.92618073633321,529,bb
16006,6,정지훈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F2668.gif,2.09074005206396,145,gaagb
16007,1,이정,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F27221A3455DD66A22F7000,2.56284864261807,12,haagb
16091,12,양진우,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F25569346564A9186176E53,1.99442171811082,248,bjagb
16242,1,최수지,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile12.uf.daum.net%2Fimage%2F017E440248EC4D5604C733,2.56526589810338,10,cecgb
16317,2,최무배,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile147.uf.daum.net%2Fimage%2F0360500248EDE28616D620,2.3674228337672,39,hbdgb
16318,2,김무영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile27.uf.daum.net%2Fimage%2F1124C0394F8E45A707C356,2.21048716995166,79,ibdgb
16343,3,권진영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F2155843F568F0FD32E8E28,2.2547415396058,56,dedgb
16532,4,강은비,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F231BA73D56568AC23090E6,2.17478616586091,87,cdfgb
16563,1,쑨 페이페이,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1256880C49922F9361BE41,2.44905169207884,19,dgfgb
16564,1,곽소동,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F13082A01499231E089D847,2.44905169207884,19,egfgb
16630,4,데이비드 맥기니스,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F234FC63B5954B39A367255,2.09817776124954,156,adggb
16635,2,김기수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile169.uf.daum.net%2Fimage%2F231FED3858AE9045255E91,2.23354406842692,54,fdggb
